Unnamed: 0,date,price,trend
,2019-11-08,73.03185272216797,up
,2019-11-09,72.58537292480469,down
,2019-11-10,72.70538330078125,up
,2019-11-11,72.42161560058594,down
,2019-11-12,72.54102325439453,up
,2019-11-13,72.25872039794922,down
,2019-11-14,72.37749481201172,up
,2019-11-15,72.09671020507812,down
,2019-11-16,72.21483612060547,up
,2019-11-17,71.93561553955078,down
,2019-11-18,72.05307006835938,up
,2019-11-19,71.77546691894531,down
,2019-11-20,71.89222717285156,up
,2019-11-21,71.61629486083984,down
,2019-11-22,71.73233795166016,up
,2019-11-23,71.45812225341797,down
,2019-11-24,71.57343292236328,up
,2019-11-25,71.30097961425781,down
,2019-11-26,71.41553497314453,up
,2019-11-27,71.14488983154297,down
,2019-11-28,71.25867462158203,up
,2019-11-29,70.98988342285156,down
,2019-11-30,71.10287475585938,up
,2019-12-01,70.83598327636719,down
,2019-12-02,70.94816589355469,up
,2019-12-03,70.68321990966797,down
,2019-12-04,70.79457092285156,up
,2019-12-05,70.5316162109375,down
,2019-12-06,70.64212036132812,up
,2019-12-07,70.38119506835938,down
,2019-12-08,70.49082946777344,up
,2019-12-09,70.23197174072266,down
,2019-12-10,70.34073638916016,up
,2019-10-12,76.29557800292969,up
,2019-10-13,76.43450164794922,up
,2019-10-14,74.65548706054688,down
,2019-10-15,74.77730560302734,up
,2019-10-16,73.21939086914062,down
,2019-10-17,73.32592010498047,up
,2019-10-18,71.96539306640625,down
,2019-10-19,72.05829620361328,up
,2019-10-20,70.87333679199219,down
,2019-10-21,70.95413970947266,up
,2019-10-22,69.92473602294922,down
,2019-10-23,69.99484252929689,up
,2019-10-24,69.10272216796875,down
,2019-10-25,69.16340637207031,up
,2019-10-12,78.31847381591797,up
,2019-10-13,78.48368072509766,up
,2019-10-14,78.48050689697266,down
,2019-10-15,78.65332794189453,up
,2019-10-16,78.6500015258789,down
,2019-10-17,78.83084869384766,up
,2019-10-18,78.82736206054688,down
,2019-10-19,79.01668548583984,up
,2019-10-20,79.01303100585938,down
,2019-10-21,79.21131134033203,up
,2019-10-22,79.20748138427734,down
,2019-10-23,79.41522216796875,up
,2019-10-24,79.41120910644531,down
,2019-10-25,79.62895202636719,up
,2019-10-26,79.62474822998047,down
,2019-10-27,79.85308837890625,up
,2019-10-28,79.84867858886719,down
,2019-10-29,80.08824157714844,up
,2019-10-30,80.08361053466797,down
,2019-10-31,80.3350601196289,up
,2019-11-01,80.3302001953125,down
,2019-11-02,80.59426879882812,up
,2019-11-03,80.58916473388672,down
,2019-11-04,80.86662292480469,up
,2019-11-05,80.86125946044922,down
,2019-11-06,81.15293884277344,up
,2019-11-07,81.14730072021484,down
,2019-11-08,81.4541015625,up
,2019-11-09,81.44817352294922,down
,2019-11-10,81.75730895996094,up
