Unnamed: 0,date,price,trend
,2019-10-13,77.29801177978516,up
,2019-10-14,76.20748138427734,down
,2019-10-15,76.34458923339844,up
,2019-10-16,75.32901000976562,down
,2019-10-17,75.45667266845703,up
,2019-10-18,74.51118469238281,down
,2019-10-19,74.63002014160156,up
,2019-10-20,73.75007629394531,down
,2019-10-21,73.86065673828125,up
,2019-10-22,73.04200744628906,down
,2019-10-23,73.14486694335938,up
,2019-10-24,72.3835220336914,down
,2019-10-25,72.47915649414062,up
,2019-10-26,71.7713623046875,down
,2019-10-27,71.8602523803711,up
,2019-10-28,71.2024917602539,down
,2019-10-29,71.28507995605469,up
,2019-10-30,70.6740493774414,down
,2019-10-31,70.7507553100586,up
,2019-11-01,70.18333435058594,down
,2019-11-02,70.25455474853516,up
,2019-11-03,69.72782135009766,down
,2019-11-04,69.79391479492189,up
,2019-11-05,69.30513000488281,down
,2019-11-06,69.36644744873047,up
,2019-11-07,68.91303253173828,down
,2019-11-08,68.96990203857422,up
,2019-11-09,68.54943084716797,down
,2019-11-10,68.60214996337889,up
,2019-11-11,68.21235656738281,down
,2019-11-12,67.14148712158203,up
,2019-11-13,66.88627624511719,down
,2019-11-14,66.18769836425781,down
,2019-11-15,66.02180480957031,down
,2019-11-16,65.56888580322266,down
,2019-11-17,65.46159362792969,down
,2019-11-18,65.16921234130861,down
,2019-11-19,65.10005950927734,down
,2019-11-20,64.91185760498047,down
,2019-11-21,64.86739349365234,down
,2019-11-22,64.74649047851561,down
,2019-11-23,64.71794891357422,down
,2019-11-24,64.64036560058594,down
,2019-11-25,64.62206268310547,down
,2019-11-26,64.57232666015625,down
,2019-11-27,64.56059265136719,down
,2019-11-28,64.52872467041016,down
,2019-11-29,64.52120971679689,down
,2019-11-30,64.50079345703125,down
,2019-12-01,64.49597930908203,down
,2019-12-02,64.48290252685547,down
,2019-12-03,64.47982025146484,down
,2019-12-04,64.47145080566406,down
,2019-12-05,64.46947479248047,down
,2019-12-06,64.464111328125,down
,2019-12-07,64.46285247802734,down
,2019-12-08,64.45941925048828,down
,2019-12-09,64.45861053466797,down
,2019-12-10,64.45641326904297,down
,2019-12-11,64.45589447021484,down
,2019-12-12,64.35175323486328,down
,2019-12-13,64.35123443603516,down
,2019-12-14,64.24741363525389,down
,2019-12-15,64.24689483642578,down
,2019-12-16,64.14344787597656,down
,2019-12-17,64.14292907714844,down
,2019-12-18,64.03989410400389,down
,2019-12-19,64.03937530517578,down
,2019-12-20,63.93678283691406,down
,2019-12-21,63.9362678527832,down
,2019-12-22,63.83416748046875,down
,2019-12-23,63.83366012573242,down
,2019-12-24,63.73208618164063,down
,2019-12-25,63.7315788269043,down
,2019-12-26,63.630577087402344,down
,2019-12-27,63.63007354736328,down
,2019-12-28,63.52968215942383,down
,2019-12-29,63.52917861938477,down
,2019-12-30,63.42943572998047,down
,2019-12-31,63.428932189941406,down
,2020-01-01,63.32987594604492,down
,2020-01-02,63.32937622070313,down
,2020-01-03,63.23103713989258,down
,2020-01-04,63.23054122924805,down
,2020-01-05,63.13295364379883,down
,2020-01-06,63.13246536254883,down
,2020-01-07,63.03567123413086,down
,2020-01-08,63.0351791381836,down
,2020-01-09,62.939208984375,down
,2020-01-10,62.938720703125,down
,2019-10-12,76.95005798339844,up
,2019-10-13,77.09880065917969,up
,2019-10-14,75.80966186523438,down
,2019-10-15,75.94925689697266,up
,2019-10-16,74.74119567871094,down
,2019-10-17,74.8718032836914,up
,2019-10-18,73.74317932128906,down
,2019-10-19,73.8650131225586,up
,2019-10-20,72.81381225585938,down
,2019-10-21,72.92711639404297,up
,2019-10-22,71.95096588134766,down
,2019-10-23,72.05602264404297,up
,2019-10-24,71.1522216796875,down
,2019-10-25,71.24935150146484,up
,2019-10-26,70.41493225097656,down
,2019-10-27,70.50447845458984,up
,2019-10-28,69.73622894287111,down
,2019-10-29,69.81855773925781,up
,2019-10-30,69.11309051513672,down
,2019-10-31,69.18859100341797,up
,2019-11-01,68.54239654541016,down
,2019-11-02,68.61146545410156,up
,2019-11-03,68.02096557617189,down
,2019-11-04,68.08400726318361,up
,2019-11-05,67.54559326171875,down
,2019-11-06,67.60301208496094,up
,2019-11-07,67.11310577392578,down
,2019-11-08,67.16529846191406,up
,2019-11-09,66.72039794921875,down
,2019-11-10,66.76775360107422,up
,2019-11-11,66.61544036865234,down
,2019-11-12,66.66326141357422,up
,2019-11-13,66.50948333740234,down
,2019-11-14,66.55775451660156,up
,2019-11-15,66.40255737304689,down
,2019-11-16,66.45127105712889,up
,2019-11-17,66.294677734375,down
,2019-11-18,66.34382629394531,up
,2019-11-19,66.18588256835939,down
,2019-11-20,66.23545074462889,up
,2019-11-21,66.07620239257811,down
,2019-11-22,66.12616729736328,up
,2019-11-23,65.96565246582031,down
,2019-11-24,66.01600646972656,up
,2019-11-25,65.85427093505861,down
,2019-11-26,65.90500640869139,up
,2019-11-27,65.74209594726561,down
,2019-11-28,65.79319000244139,up
,2019-11-29,65.62915802001953,down
,2019-11-30,65.68058776855469,up
,2019-12-01,65.51549530029297,down
,2019-12-02,65.56724548339844,up
,2019-12-03,65.40113830566406,down
,2019-12-04,65.45320129394531,up
,2019-12-05,65.28612518310547,down
,2019-12-06,65.33848571777344,up
,2019-12-07,65.17050933837889,down
,2019-12-08,65.22313690185547,up
,2019-12-09,65.0543212890625,down
,2019-12-10,65.10720825195311,up
,2019-10-12,77.74453735351562,up
,2019-10-13,77.90007781982422,up
,2019-10-14,77.33216857910156,down
,2019-10-15,77.48524475097656,up
